system,prompt,normalization,source_output_bytes,analysis_bytes,fourgram_repetition,eightgram_repetition,line_count,mean_line_length,speaker_heading_count,terminal_punctuation_count,training_fourgram_overlap,longest_training_match_bytes,replacement_character_count
model_a,"To be, or not to",first_150_utf8_bytes,150,150,0.034013605442176874,0.0,6,24.0,1,1,0.9591836734693877,16,0
model_a,"O Romeo, Romeo",first_150_utf8_bytes,150,150,0.013605442176870748,0.0,6,24.0,0,2,0.9387755102040817,17,0
model_a,Now is the winter,first_150_utf8_bytes,150,150,0.006802721088435374,0.0,6,24.0,1,3,0.9387755102040817,13,0
model_a,"Friends, Romans, countrymen",first_150_utf8_bytes,150,150,0.013605442176870748,0.0,4,36.5,0,2,0.9115646258503401,17,0
model_a,Shall I compare thee,first_150_utf8_bytes,150,150,0.034013605442176874,0.0,5,29.0,1,2,0.9183673469387755,11,0
model_b,"To be, or not to",first_150_utf8_bytes,150,150,0.013605442176870748,0.0,6,23.833333333333332,2,2,0.9795918367346939,19,0
model_b,"O Romeo, Romeo",first_150_utf8_bytes,150,150,0.027210884353741496,0.0,5,29.0,1,1,0.9591836734693877,14,0
model_b,Now is the winter,first_150_utf8_bytes,150,150,0.07482993197278912,0.04195804195804196,10,13.6,5,5,1.0,20,0
model_b,"Friends, Romans, countrymen",first_150_utf8_bytes,150,150,0.04081632653061224,0.0,9,15.444444444444445,3,5,0.9523809523809523,17,0
model_b,Shall I compare thee,first_150_utf8_bytes,150,150,0.006802721088435374,0.0,6,23.833333333333332,2,3,0.9727891156462585,19,0
gemini_flash,"To be, or not to",first_150_utf8_bytes,537,150,0.027210884353741496,0.0,4,36.75,0,0,1.0,14,0
gemini_flash,"O Romeo, Romeo",first_150_utf8_bytes,479,150,0.061224489795918366,0.0,5,29.2,0,3,0.9931972789115646,149,0
gemini_flash,Now is the winter,first_150_utf8_bytes,601,150,0.05442176870748299,0.0,5,29.2,0,1,1.0,150,0
gemini_flash,"Friends, Romans, countrymen",first_150_utf8_bytes,533,150,0.027210884353741496,0.0,5,29.2,0,2,0.9931972789115646,15,0
gemini_flash,Shall I compare thee,first_150_utf8_bytes,550,150,0.06802721088435375,0.0,4,36.75,0,1,0.9863945578231292,18,0
